"","Churn","SeniorCitizen","tenure","MonthlyCharges","TotalCharges","gender_Male","Partner_Yes","Dependents_Yes","PhoneService_Yes","MultipleLines_No.phone.service","MultipleLines_Yes","InternetService_Fiber.optic","InternetService_No","OnlineSecurity_No.internet.service","OnlineSecurity_Yes","OnlineBackup_No.internet.service","OnlineBackup_Yes","DeviceProtection_No.internet.service","DeviceProtection_Yes","TechSupport_No.internet.service","TechSupport_Yes","StreamingTV_No.internet.service","StreamingTV_Yes","StreamingMovies_No.internet.service","StreamingMovies_Yes","Contract_One.year","Contract_Two.year","PaperlessBilling_Yes","PaymentMethod_Credit.card..automatic.","PaymentMethod_Electronic.check","PaymentMethod_Mailed.check"
"11","No","-0.4398853","-0.78874422","-0.4922455725","-7.480078e-01"," 0.9904615"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101","-0.7109755"," 1.8353823"
"12","No","-0.4398853","-0.66659180","-1.5224865655","-8.630405e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969"," 1.901268"," 1.901268","-0.633888"," 1.901268","-0.7255112"," 1.901268","-0.7239161"," 1.901268","-0.6393932"," 1.901268","-0.7900756"," 1.901268","-0.7960136","-0.5142129"," 1.7761515","-1.2050277"," 1.9044550","-0.7109755","-0.5447682"
"13","No","-0.4398853"," 1.04354206"," 1.1827268805"," 1.499973e+00"," 0.9904615"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815"," 1.9444438","-0.5629351","-1.2050277"," 1.9044550","-0.7109755","-0.5447682"
"14","Yes","-0.4398853"," 0.67708480"," 1.2940593749"," 1.215403e+00"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101","-0.7109755","-0.5447682"
"15","No","-0.4398853","-0.30013454"," 1.3538798197"," 1.781674e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"16","No","-0.4398853"," 1.49143426"," 1.6114400679"," 2.477100e+00","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129"," 1.7761515","-1.2050277"," 1.9044550","-0.7109755","-0.5447682"
"17","No","-0.4398853"," 0.79923722","-1.4659894788","-5.558086e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969"," 1.901268"," 1.901268","-0.633888"," 1.901268","-0.7255112"," 1.901268","-0.7239161"," 1.901268","-0.6393932"," 1.901268","-0.7900756"," 1.901268","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"18","No","-0.4398853"," 1.57286920"," 1.3937601162"," 2.250742e+00"," 0.9904615","-0.9665537"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129"," 1.7761515","-1.2050277","-0.5250101","-0.7109755","-0.5447682"
"19","Yes","-0.4398853","-0.91089664","-0.3177692753","-7.740904e-01","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351","-1.2050277"," 1.9044550","-0.7109755","-0.5447682"
"20","No","-0.4398853","-0.46300444"," 0.8404210022","-1.851134e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"21","Yes"," 2.2729973","-1.27735389","-0.8345514508","-9.897684e-01"," 0.9904615","-0.9665537","-0.6539655","-3.0537936"," 3.0537936","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"22","No","-0.4398853","-0.82946169","-1.4942380221","-9.180082e-01"," 0.9904615"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969"," 1.901268"," 1.901268","-0.633888"," 1.901268","-0.7255112"," 1.901268","-0.7239161"," 1.901268","-0.6393932"," 1.901268","-0.7900756"," 1.901268","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755","-0.5447682"
"23","Yes","-0.4398853","-1.27735389","-1.4826062690","-9.983744e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969"," 1.901268"," 1.901268","-0.633888"," 1.901268","-0.7255112"," 1.901268","-0.7239161"," 1.901268","-0.6393932"," 1.901268","-0.7900756"," 1.901268","-0.7960136","-0.5142129","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"24","No","-0.4398853"," 1.04354206","-0.1615714474"," 5.396388e-01","-1.0094870"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"25","No","-0.4398853"," 0.67708480","-0.1715415215"," 3.036155e-01"," 0.9904615"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351","-1.2050277"," 1.9044550","-0.7109755","-0.5447682"
"26","No","-0.4398853","-0.09654718","-0.3144459173","-3.317674e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101","-0.7109755","-0.5447682"
"27","Yes","-0.4398853"," 0.59564986"," 1.1494933001"," 1.088675e+00"," 0.9904615"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"28","Yes","-0.4398853","-1.27735389","-1.1486087858","-9.939390e-01"," 0.9904615"," 1.0344568"," 1.5289155","-3.0537936"," 3.0537936","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351","-1.2050277","-0.5250101"," 1.4063185","-0.5447682"
"29","No","-0.4398853"," 1.61358668"," 0.8470677183"," 1.803763e+00"," 0.9904615"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"30","Yes","-0.4398853","-0.62587433","-0.0020502614","-5.248493e-01","-1.0094870","-0.9665537"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101","-0.7109755"," 1.8353823"
"31","No"," 2.2729973"," 1.57286920"," 1.0497925589"," 1.979191e+00","-1.0094870"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"32","No"," 2.2729973","-1.23663642"," 1.0215440155","-9.270996e-01"," 0.9904615"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"33","No","-0.4398853","-0.21869960"," 0.0461384303","-1.800161e-01","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"34","No","-0.4398853","-1.27735389","-1.4809445899","-9.983523e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969"," 1.901268"," 1.901268","-0.633888"," 1.901268","-0.7255112"," 1.901268","-0.7239161"," 1.901268","-0.6393932"," 1.901268","-0.7900756"," 1.901268","-0.7960136","-0.5142129","-0.5629351","-1.2050277","-0.5250101","-0.7109755","-0.5447682"
"35","No"," 2.2729973","-1.27735389","-0.6484434005","-9.872970e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351","-1.2050277","-0.5250101","-0.7109755","-0.5447682"
"36","No","-0.4398853"," 1.61358668"," 1.1677717694"," 2.193126e+00","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129"," 1.7761515","-1.2050277","-0.5250101","-0.7109755","-0.5447682"
"37","Yes","-0.4398853","-1.11448400"," 0.1641176407","-8.674097e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"38","No","-0.4398853"," 0.55493238"," 0.3336089009"," 5.587043e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"39","Yes","-0.4398853"," 0.06632271"," 1.3821283631"," 5.591235e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"40","Yes","-0.4398853","-0.87017916"," 1.0996429295","-5.194209e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101","-0.7109755","-0.5447682"
"41","No","-0.4398853","-0.91089664","-0.5055390047","-7.973265e-01"," 0.9904615"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"42","No","-0.4398853"," 1.53215173"," 0.1475008505"," 1.143047e+00","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"43","No","-0.4398853","-0.62587433","-1.4626661207","-8.226809e-01","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969"," 1.901268"," 1.901268","-0.633888"," 1.901268","-0.7255112"," 1.901268","-0.7239161"," 1.901268","-0.6393932"," 1.901268","-0.7900756"," 1.901268","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"44","No","-0.4398853"," 1.24712942"," 0.5014384820"," 1.138237e+00","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"45","No","-0.4398853","-0.78874422"," 0.3801359135","-5.741238e-01","-1.0094870"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"46","No","-0.4398853"," 0.67708480"," 0.6559746309"," 7.168769e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"47","No","-0.4398853","-1.23663642","-0.5155090788","-9.644582e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"48","Yes","-0.4398853","-1.23663642"," 0.5280253463","-9.436494e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"49","No","-0.4398853"," 0.79923722"," 0.4981151239"," 8.541747e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"50","No","-0.4398853"," 1.49143426","-0.0203287306"," 8.701950e-01","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"51","No"," 2.2729973"," 0.43277997"," 0.8470677183"," 6.868886e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"52","Yes","-0.4398853","-0.70730927"," 1.1411849050","-3.777540e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"53","No"," 2.2729973","-0.30013454"," 0.1574709247","-2.337701e-01","-1.0094870"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"54","Yes"," 2.2729973","-0.99233158"," 0.5280253463","-7.277729e-01","-1.0094870"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"55","No"," 2.2729973"," 1.12497700"," 0.3352705799"," 9.594540e-01","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890"," 1.2560815"," 1.9444438","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"56","Yes"," 2.2729973","-0.58515685"," 1.0198823365","-2.338142e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"57","No","-0.4398853"," 1.24712942"," 1.1594633743"," 1.778055e+00","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815"," 1.9444438","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"58","No"," 2.2729973"," 1.36928184"," 1.4519188819"," 2.115739e+00"," 0.9904615"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890"," 1.2560815"," 1.9444438","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"59","No","-0.4398853"," 0.06632271","-1.3230850830","-6.125857e-01","-1.0094870"," 1.0344568"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356","-0.8855969"," 1.901268"," 1.901268","-0.633888"," 1.901268","-0.7255112"," 1.901268","-0.7239161"," 1.901268","-0.6393932"," 1.901268","-0.7900756"," 1.901268","-0.7960136","-0.5142129"," 1.7761515","-1.2050277"," 1.9044550","-0.7109755","-0.5447682"
"60","No","-0.4398853"," 1.61358668"," 1.4203469805"," 2.458807e+00","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129"," 1.7761515"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
