Gone,Age,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,33,Travel_Frequently,1,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12
No,35,Travel_Frequently,18,2,Male,3,3,Sales Executive,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8
No,35,Travel_Rarely,23,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2
No,31,Travel_Rarely,7,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7
No,37,Travel_Rarely,1,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7
No,32,Travel_Rarely,1,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8
No,38,Travel_Frequently,29,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9
No,50,Travel_Rarely,7,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8
No,59,Travel_Rarely,25,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9
No,36,Travel_Rarely,8,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8
No,55,Travel_Rarely,8,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2
No,36,Travel_Frequently,11,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3
No,45,Travel_Rarely,7,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0
No,35,Travel_Frequently,1,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2
Yes,36,Travel_Rarely,9,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0
No,59,Travel_Frequently,1,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3
No,29,Travel_Rarely,2,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4
No,31,Travel_Rarely,1,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0
No,32,Travel_Rarely,1,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9
No,36,Travel_Rarely,6,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0
No,31,Travel_Rarely,8,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8
No,35,Travel_Rarely,1,3,Male,2,2,Sales Executive,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8
No,45,Travel_Rarely,6,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0
No,37,Travel_Rarely,7,1,Male,3,3,Research Director,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2
No,46,Travel_Rarely,5,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2
No,30,Travel_Rarely,1,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0
No,35,Travel_Rarely,1,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4
No,55,Travel_Rarely,1,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0
No,38,Non-Travel,6,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9
No,34,Travel_Rarely,1,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3
No,56,Travel_Rarely,7,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2
No,23,Travel_Rarely,2,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0
No,51,Travel_Rarely,9,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3
No,30,Travel_Rarely,2,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8
Yes,46,Travel_Rarely,9,3,Male,2,3,Sales Executive,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7
No,40,Travel_Frequently,1,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11
No,51,Travel_Rarely,21,3,Male,3,2,Sales Executive,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0
No,30,Travel_Rarely,4,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7
No,46,Travel_Frequently,1,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5
No,32,Travel_Rarely,6,2,Male,3,2,Sales Executive,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7
No,54,Travel_Rarely,2,1,Female,3,3,Research Director,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3
No,24,Travel_Rarely,3,1,Female,3,2,Sales Executive,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2
No,28,Non-Travel,4,2,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4
No,58,Travel_Rarely,10,4,Male,3,4,Sales Executive,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8
No,44,Non-Travel,23,2,Male,3,2,Laboratory Technician,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2
Yes,37,Travel_Rarely,6,3,Male,3,1,Human Resources,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2
No,32,Travel_Rarely,1,4,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0
Yes,20,Travel_Frequently,6,4,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0
No,34,Travel_Rarely,6,1,Female,3,2,Research Scientist,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10
No,37,Non-Travel,2,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0
No,59,Non-Travel,2,3,Female,2,5,Manager,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2
No,50,Travel_Frequently,1,1,Female,3,5,Research Director,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7
Yes,25,Travel_Rarely,5,3,Male,2,2,Sales Executive,3,Single,5744,1,Yes,11,3,4,0,6,1,3,6,4,0,3
No,25,Travel_Rarely,7,4,Male,2,1,Research Scientist,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1
No,22,Travel_Rarely,15,2,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0
No,51,Travel_Frequently,1,1,Female,2,3,Healthcare Representative,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8
Yes,34,Travel_Frequently,7,1,Male,1,2,Laboratory Technician,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6
No,54,Non-Travel,26,4,Female,4,4,Manager,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4
No,24,Travel_Rarely,18,2,Male,3,1,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2
No,34,Travel_Rarely,6,3,Female,2,2,Research Scientist,2,Divorced,4505,6,No,15,3,3,1,12,3,3,1,0,0,0
No,37,Travel_Rarely,3,3,Male,3,3,Sales Executive,4,Single,7428,2,No,12,3,1,0,12,3,3,5,3,1,3
No,34,Travel_Rarely,5,3,Female,2,3,Manager,1,Single,11631,2,No,12,3,4,0,14,6,3,11,10,5,8
No,36,Travel_Frequently,11,2,Female,3,3,Sales Executive,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8
No,36,Travel_Rarely,3,1,Female,3,1,Laboratory Technician,4,Divorced,2835,5,No,22,4,1,1,7,2,3,1,0,0,0
No,43,Travel_Frequently,26,3,Male,3,4,Manager,4,Married,16959,1,Yes,12,3,4,2,25,3,4,25,12,4,12
No,30,Travel_Frequently,23,1,Male,1,1,Research Scientist,3,Divorced,2613,1,No,25,4,3,3,10,2,2,10,7,0,9
No,33,Non-Travel,22,3,Male,3,2,Sales Executive,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7
Yes,56,Travel_Rarely,14,2,Female,3,1,Research Scientist,2,Married,4963,9,Yes,18,3,1,3,7,2,3,5,4,4,3
No,51,Travel_Rarely,6,1,Male,3,5,Research Director,3,Single,19537,7,No,13,3,3,0,23,5,3,20,18,15,15
Yes,31,Travel_Rarely,6,2,Male,1,2,Sales Executive,3,Married,6172,4,Yes,18,3,2,0,12,3,2,7,7,7,7
No,26,Travel_Rarely,6,3,Female,2,1,Research Scientist,2,Married,2368,1,No,19,3,3,0,5,3,2,5,4,4,3
Yes,58,Travel_Rarely,23,4,Female,3,3,Healthcare Representative,4,Married,10312,1,No,12,3,4,1,40,3,2,40,10,15,6
Yes,19,Travel_Rarely,22,4,Male,3,1,Sales Representative,3,Single,1675,1,Yes,19,3,4,0,0,2,2,0,0,0,0
No,22,Travel_Rarely,2,3,Male,3,1,Laboratory Technician,4,Married,2523,0,No,14,3,3,1,3,2,3,2,1,2,1
No,49,Travel_Rarely,20,3,Female,3,2,Manufacturing Director,1,Married,6567,1,No,14,3,3,0,16,2,2,15,11,5,11
No,43,Travel_Frequently,28,2,Female,4,1,Research Scientist,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2
No,50,Travel_Frequently,12,3,Female,3,3,Sales Executive,4,Single,9208,4,No,11,3,4,0,16,3,3,2,2,2,1
Yes,31,Travel_Rarely,20,2,Female,1,2,Sales Executive,3,Married,4559,3,Yes,11,3,3,1,4,2,3,2,2,2,2
No,41,Travel_Rarely,9,3,Male,3,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,3,1,12,2,3,9,7,0,7
No,26,Travel_Rarely,25,3,Female,3,1,Human Resources,3,Married,2942,1,No,23,4,4,1,8,3,3,8,7,5,7
No,36,Travel_Rarely,6,2,Male,3,2,Manufacturing Director,2,Divorced,4941,6,No,20,4,4,2,7,0,3,3,2,0,1
Yes,51,Travel_Frequently,8,1,Male,1,3,Manufacturing Director,4,Single,10650,2,No,15,3,4,0,18,2,3,4,2,0,3
No,39,Travel_Rarely,4,4,Female,2,2,Sales Executive,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9
No,25,Travel_Rarely,28,1,Male,2,2,Sales Executive,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2
No,30,Travel_Rarely,9,3,Male,3,2,Human Resources,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7
Yes,32,Travel_Rarely,9,1,Female,3,1,Laboratory Technician,1,Single,4200,7,No,22,4,1,0,10,2,4,5,4,0,4
No,45,Travel_Rarely,29,3,Male,3,1,Research Scientist,4,Single,3452,5,No,13,3,2,0,9,2,2,6,5,0,3
No,38,Travel_Rarely,3,4,Female,3,2,Research Scientist,3,Single,4317,3,Yes,20,4,2,0,19,2,3,3,2,2,2
No,30,Travel_Rarely,18,1,Female,3,1,Research Scientist,3,Single,2632,1,No,14,3,3,0,5,4,2,5,4,0,4
No,32,Travel_Frequently,9,4,Male,1,2,Sales Executive,4,Divorced,4668,0,No,17,3,4,3,9,2,4,8,7,0,7
No,30,Travel_Rarely,5,4,Female,3,1,Research Scientist,1,Divorced,3204,5,No,14,3,4,1,8,3,3,3,2,2,2
No,30,Travel_Rarely,2,2,Male,2,1,Laboratory Technician,4,Single,2720,0,No,13,3,4,0,6,3,3,5,3,1,2
No,41,Travel_Frequently,10,4,Male,2,4,Manager,1,Divorced,17181,4,No,13,3,2,1,21,2,2,7,6,7,7
No,41,Travel_Rarely,9,3,Male,3,1,Laboratory Technician,1,Married,2238,2,No,21,4,4,1,7,2,3,5,0,1,4
No,19,Travel_Rarely,3,2,Female,3,1,Laboratory Technician,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0
No,40,Travel_Frequently,26,2,Female,3,2,Research Scientist,2,Divorced,5605,1,No,11,3,1,1,20,2,3,20,7,2,13
No,35,Travel_Rarely,1,3,Male,3,3,Sales Executive,2,Married,7295,1,No,13,3,1,2,10,3,3,10,8,0,6
No,53,Travel_Rarely,6,2,Male,3,2,Sales Representative,3,Married,2306,2,Yes,20,4,4,1,13,3,1,7,7,4,5
No,45,Travel_Rarely,9,2,Male,3,2,Laboratory Technician,2,Divorced,2348,8,No,18,3,3,1,20,2,1,17,9,0,15
No,32,Travel_Frequently,8,2,Female,3,3,Sales Executive,4,Single,8998,1,No,14,3,4,0,9,2,3,9,8,3,7
No,29,Non-Travel,1,4,Male,3,2,Manufacturing Director,3,Married,4319,1,No,13,3,1,1,10,1,3,10,7,0,9
No,51,Travel_Rarely,7,2,Male,2,2,Manufacturing Director,3,Married,6132,2,No,17,3,3,0,10,2,3,1,0,0,0
No,58,Travel_Rarely,9,2,Female,2,1,Research Scientist,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0
No,40,Travel_Rarely,4,3,Male,2,3,Sales Executive,4,Married,10855,7,No,11,3,1,1,15,2,2,12,11,2,11
No,34,Travel_Frequently,2,3,Female,3,1,Sales Representative,3,Married,2231,6,No,18,3,4,1,6,3,3,4,3,1,2
No,22,Travel_Rarely,19,3,Male,3,1,Research Scientist,4,Married,2323,1,No,24,4,1,2,2,6,3,2,2,2,2
No,27,Non-Travel,9,4,Male,3,1,Research Scientist,2,Divorced,2024,6,No,18,3,4,1,6,1,1,2,2,2,2
No,28,Travel_Rarely,21,3,Male,3,1,Research Scientist,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2
No,57,Travel_Rarely,24,3,Male,4,3,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,2,1,12,2,1,5,3,1,4
No,27,Non-Travel,3,3,Male,2,1,Research Scientist,3,Divorced,2566,1,Yes,15,3,4,1,1,2,2,1,1,0,1
No,50,Travel_Rarely,11,3,Female,3,5,Manager,2,Single,19926,3,No,15,3,2,0,21,5,3,5,4,4,4
No,41,Travel_Rarely,14,1,Male,3,1,Research Scientist,3,Divorced,2451,4,No,12,3,1,1,13,2,3,9,8,1,8
No,30,Travel_Rarely,5,2,Female,3,3,Sales Executive,4,Married,9419,2,No,12,3,3,1,12,2,3,10,9,7,4
No,38,Travel_Rarely,1,1,Female,2,2,Sales Executive,4,Single,8686,4,No,22,4,3,0,12,2,4,8,3,0,7
No,32,Travel_Rarely,6,3,Male,3,1,Research Scientist,3,Single,3038,3,No,20,4,1,0,8,2,3,5,4,1,4
No,27,Travel_Rarely,17,3,Male,3,1,Research Scientist,2,Married,3058,0,Yes,16,3,4,1,6,3,2,5,2,1,1
Yes,19,Travel_Frequently,1,3,Female,1,1,Sales Representative,1,Single,2325,0,No,21,4,1,0,1,5,4,0,0,0,0
No,36,Travel_Frequently,3,4,Male,3,1,Laboratory Technician,2,Single,2088,4,No,12,3,3,0,13,3,2,8,7,7,2
No,30,Non-Travel,9,3,Male,3,2,Laboratory Technician,1,Divorced,3072,1,No,11,3,3,2,12,4,3,12,9,6,10
No,45,Travel_Rarely,4,3,Female,3,2,Sales Executive,1,Divorced,5006,4,Yes,11,3,1,1,9,3,4,5,4,0,3
No,56,Travel_Rarely,8,3,Female,3,1,Research Scientist,1,Divorced,4257,4,Yes,18,3,3,1,19,3,3,2,2,2,2
No,33,Travel_Rarely,2,3,Male,3,1,Research Scientist,4,Single,2500,0,No,14,3,1,0,4,2,4,3,1,0,2
Yes,19,Travel_Rarely,2,2,Male,2,1,Laboratory Technician,4,Single,1102,1,No,22,4,3,0,1,3,2,1,0,1,0
No,46,Travel_Rarely,1,2,Female,3,3,Sales Executive,1,Divorced,10453,1,No,25,4,3,3,24,2,3,24,13,15,7
No,38,Travel_Rarely,9,3,Female,3,1,Laboratory Technician,4,Single,2288,1,No,12,3,3,0,2,3,3,2,2,2,1
No,31,Travel_Rarely,12,3,Female,3,1,Research Scientist,4,Married,3929,8,Yes,23,4,3,1,7,0,3,4,2,0,2
No,34,Travel_Rarely,27,4,Female,3,1,Research Scientist,2,Single,2311,2,No,15,3,4,0,9,3,3,3,2,1,2
Yes,41,Travel_Rarely,20,2,Female,3,1,Sales Representative,2,Single,3140,1,Yes,22,4,4,0,4,5,2,4,3,0,2
No,50,Travel_Rarely,1,3,Male,2,1,Laboratory Technician,3,Married,3690,2,No,15,3,4,1,5,2,2,3,2,0,2
No,53,Travel_Rarely,13,4,Female,4,2,Manufacturing Director,1,Divorced,4450,1,No,11,3,3,2,5,3,3,4,2,1,3
No,33,Travel_Rarely,14,4,Female,3,1,Research Scientist,2,Married,2756,1,No,13,3,4,1,8,5,3,8,7,1,6
No,40,Travel_Rarely,4,4,Female,3,5,Manager,3,Married,19033,1,No,14,3,2,1,21,2,3,20,8,9,9
No,55,Travel_Rarely,14,3,Male,4,5,Research Director,2,Single,18722,8,No,11,3,4,0,36,3,3,24,15,2,15
No,34,Travel_Frequently,2,4,Male,2,2,Manufacturing Director,3,Married,9547,1,No,17,3,3,0,10,2,2,10,9,1,9
No,51,Travel_Rarely,3,4,Female,3,4,Healthcare Representative,2,Single,13734,3,No,18,3,3,0,21,6,3,7,7,1,0
No,52,Travel_Rarely,1,3,Male,2,5,Manager,3,Married,19999,0,No,14,3,1,1,34,5,3,33,18,11,9
No,27,Travel_Rarely,9,4,Female,3,1,Research Scientist,2,Single,2279,1,No,16,3,4,0,7,2,2,7,7,0,3
Yes,35,Travel_Rarely,23,2,Male,2,2,Manufacturing Director,3,Married,5916,3,Yes,13,3,1,0,8,1,3,1,0,0,1
No,43,Non-Travel,7,4,Male,4,1,Research Scientist,4,Divorced,2089,4,No,14,3,4,3,7,3,4,5,4,2,2
No,45,Non-Travel,2,1,Male,2,4,Manager,4,Married,16792,9,No,23,4,4,1,22,1,3,20,8,11,8
No,37,Travel_Rarely,21,2,Male,4,1,Research Scientist,1,Married,3564,1,Yes,12,3,1,1,8,3,2,8,7,1,7
No,35,Travel_Frequently,2,2,Female,3,2,Laboratory Technician,2,Single,4425,5,No,11,3,4,0,10,5,3,6,2,1,2
No,42,Non-Travel,21,3,Female,3,2,Manufacturing Director,3,Divorced,5265,2,No,16,3,2,1,11,5,3,5,3,0,2
No,38,Travel_Rarely,2,4,Male,3,2,Manufacturing Director,3,Married,6553,9,No,14,3,2,0,14,3,3,1,0,0,0
No,38,Travel_Rarely,29,4,Male,3,2,Manufacturing Director,4,Married,6261,3,No,18,3,1,1,9,3,1,7,7,1,7
No,27,Travel_Frequently,1,3,Male,2,2,Manufacturing Director,1,Married,4298,5,No,19,3,3,1,6,1,3,2,2,2,0
No,49,Non-Travel,18,4,Male,3,2,Manufacturing Director,4,Divorced,6804,1,Yes,15,3,1,2,7,0,3,7,7,1,7
No,34,Travel_Frequently,10,4,Male,3,1,Research Scientist,3,Divorced,3815,1,Yes,17,3,4,1,5,4,4,5,3,2,0
